INVERTER_STATUS,0,1,1
INVERTER_FAULT,1,2,3
DC_VOLTS,2,3,4
,3,,5
DC_AMPS,4,4,6
,5,,7
AC_VOLTS_OUTPUT,6,5,9
AC_VOLTS_INPUT,7,6,11
INVERTER_LED,8,14_H,26
CHARGER_LED,9,14_L,27
INVERTER_REVISION,10,13_L,25
BATTERY_TEMP,11,10,19
TRANSFORMER_TEMP,12,11,21
FET_TEMP,13,12,23
INVERTER_MODEL,14,13_H,24
STACK_MODE,15,15,29
AC INPUT_AMPS,16,7,13
AC OUTPUT_AMPS,17,8,15
AC_HZ,18,9,16
,19,,17
NOT_USED,20,,
,,,
INVERTER_ON/OFF,0,1,1
SEARCH_WATTS,1,2,3
BATTERY_SIZE,2,3,5
BATTERY_TYPE,3,4,7
CHARGER_AMPS,4,5,9
AC_SHORE_AMPS,5,6,11
REMOTE_REVISION,6,7,13
FORCE_CHARGE,7,8,15
AUTO_GENSTART,8,9,17
LOW_BATTERY_CUT_OUT,9,10,19
VAC_CUT_OUT_VOLTAGE,10,11,21
FLOAT_VOLTS,11,12,23
EQ_VOLTS,12,13,25
ABSORB_TIME,13,14,27
HOURS,14,15_H,28
MINUTES,15,15_L,29
